date,Under 65,65 to 69,70 to 74,75 to 79,80+
2020-03-02,0,0,0,0,1
2020-03-03,0,0,0,1,1
2020-03-04,0,0,0,0,0
2020-03-05,1,0,0,1,1
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,1,1,0,1
2020-03-09,1,1,1,1,1
2020-03-10,0,0,0,1,2
2020-03-11,3,0,1,0,4
2020-03-12,1,1,2,0,8
2020-03-13,0,3,2,0,11
2020-03-14,4,2,2,2,10
2020-03-15,4,4,4,7,13
2020-03-16,4,3,4,5,26
2020-03-17,5,5,5,5,30
2020-03-18,7,3,7,8,42
2020-03-19,11,7,3,10,36
2020-03-20,16,5,14,10,57
2020-03-21,17,7,12,17,63
2020-03-22,19,15,18,20,82
2020-03-23,26,10,28,20,89
2020-03-24,22,23,16,40,118
2020-03-25,39,17,32,52,138
2020-03-26,42,30,45,53,166
2020-03-27,48,31,45,60,190
2020-03-28,49,25,47,73,190
2020-03-29,60,49,63,59,234
2020-03-30,70,37,62,73,299
2020-03-31,70,41,81,120,290
2020-04-01,91,53,82,118,355
2020-04-02,96,60,67,112,396
2020-04-03,92,64,93,120,374
2020-04-04,110,69,82,146,431
2020-04-05,118,69,79,121,442
2020-04-06,94,77,86,128,419
2020-04-07,118,74,132,143,446
2020-04-08,129,76,104,147,517
2020-04-09,130,68,96,131,448
2020-04-10,117,67,100,128,438
2020-04-11,115,73,100,143,431
2020-04-12,106,66,99,123,464
2020-04-13,99,84,93,95,433
2020-04-14,103,66,76,114,411
2020-04-15,94,71,72,120,428
2020-04-16,82,68,90,92,421
2020-04-17,97,58,73,99,416
2020-04-18,71,49,59,103,424
2020-04-19,68,58,51,89,420
2020-04-20,83,45,71,88,398
2020-04-21,81,44,63,69,393
2020-04-22,84,47,57,84,371
2020-04-23,79,29,60,83,342
2020-04-24,49,38,58,84,374
2020-04-25,46,38,61,86,325
2020-04-26,39,43,47,71,360
2020-04-27,53,37,39,74,303
2020-04-28,48,25,43,68,315
2020-04-29,42,34,37,62,318
2020-04-30,48,26,39,66,305
2020-05-01,31,38,32,70,308
2020-05-02,33,20,51,51,269
2020-05-03,20,18,37,51,261
2020-05-04,28,17,30,54,283
2020-05-05,32,25,32,57,245
2020-05-06,27,36,39,48,242
2020-05-07,26,23,35,43,272
2020-05-08,20,23,31,36,220
2020-05-09,21,11,26,38,234
2020-05-10,23,15,19,36,207
2020-05-11,19,18,16,27,180
2020-05-12,19,24,19,32,181
2020-05-13,18,9,16,39,174
2020-05-14,19,9,23,33,193
2020-05-15,16,19,16,31,187
2020-05-16,22,8,23,29,186
2020-05-17,13,6,21,29,154
2020-05-18,13,12,20,35,173
2020-05-19,12,15,22,27,155
2020-05-20,13,10,10,31,170
2020-05-21,14,8,18,31,130
2020-05-22,15,8,14,18,140
2020-05-23,19,6,13,21,141
2020-05-24,9,10,11,24,115
2020-05-25,16,7,17,23,113
2020-05-26,8,11,15,28,126
2020-05-27,12,12,22,21,104
2020-05-28,10,4,13,19,136
2020-05-29,12,7,9,22,113
2020-05-30,5,6,11,29,94
2020-05-31,2,10,10,14,76
2020-06-01,10,1,5,13,93
2020-06-02,14,9,18,17,98
2020-06-03,7,12,13,20,86
2020-06-04,9,6,6,12,88
2020-06-05,6,9,11,11,72
2020-06-06,12,6,7,11,63
2020-06-07,6,7,8,21,70
2020-06-08,9,5,16,8,73
2020-06-09,10,5,8,7,55
2020-06-10,9,3,6,15,64
2020-06-11,6,3,3,8,51
2020-06-12,5,1,5,8,54
2020-06-13,1,2,5,2,43
2020-06-14,2,5,12,11,46
2020-06-15,5,6,7,11,32
2020-06-16,8,4,3,9,45
2020-06-17,5,2,6,12,28
2020-06-18,3,7,5,9,33
2020-06-19,1,2,4,2,38
2020-06-20,3,2,4,6,39
2020-06-21,3,4,1,8,31
2020-06-22,5,1,3,9,40
2020-06-23,5,5,5,7,39
2020-06-24,2,6,8,7,45
2020-06-25,4,3,7,10,34
2020-06-26,3,3,1,2,28
2020-06-27,3,1,3,5,27
2020-06-28,4,1,7,3,27
2020-06-29,7,0,1,5,21
2020-06-30,3,5,3,11,21
2020-07-01,2,1,1,4,14
2020-07-02,6,2,7,8,17
2020-07-03,1,1,0,3,21
2020-07-04,5,1,0,6,19
2020-07-05,4,2,5,5,8
2020-07-06,1,3,3,1,25
2020-07-07,3,1,1,4,17
2020-07-08,1,3,5,3,11
2020-07-09,1,4,8,4,18
2020-07-10,2,2,1,0,16
2020-07-11,2,2,2,4,10
2020-07-12,0,2,2,1,7
2020-07-13,0,1,5,2,14
2020-07-14,2,0,2,7,9
2020-07-15,1,2,3,5,9
2020-07-16,1,0,0,2,9
2020-07-17,2,1,4,2,9
2020-07-18,1,2,1,1,9
2020-07-19,2,3,0,3,6
2020-07-20,1,0,2,1,8
2020-07-21,3,0,0,3,13
2020-07-22,0,1,1,2,12
2020-07-23,0,4,2,3,7
2020-07-24,1,2,0,1,2
2020-07-25,3,1,1,2,6
2020-07-26,2,1,1,3,7
2020-07-27,3,1,1,2,3
2020-07-28,2,2,0,3,3
2020-07-29,2,0,0,3,3
2020-07-30,1,1,0,1,5
2020-07-31,0,0,1,3,6
2020-08-01,2,2,1,1,3
2020-08-02,1,1,0,1,5
2020-08-03,2,3,1,2,6
2020-08-04,3,0,1,1,5
2020-08-05,0,0,0,1,2
2020-08-06,0,2,0,1,6
2020-08-07,2,0,1,0,4
2020-08-08,2,1,1,2,5
2020-08-09,0,2,2,1,3
2020-08-10,1,0,1,2,7
2020-08-11,0,0,0,1,9
2020-08-12,0,0,1,0,5
2020-08-13,0,1,1,3,2
2020-08-14,0,1,0,2,3
2020-08-15,2,1,0,1,7
2020-08-16,2,0,1,0,1
2020-08-17,0,0,1,4,7
2020-08-18,2,2,0,0,3
2020-08-19,0,0,0,0,2
2020-08-20,2,1,0,1,4
2020-08-21,1,0,0,2,4
2020-08-22,2,1,1,0,2
2020-08-23,0,1,1,1,10
2020-08-24,2,1,0,0,2
2020-08-25,2,2,0,0,7
2020-08-26,1,1,2,1,6
2020-08-27,1,0,0,1,6
2020-08-28,0,1,1,1,5
2020-08-29,1,0,0,1,3
2020-08-30,1,1,0,1,3
2020-08-31,2,0,2,1,2
2020-09-01,0,0,0,1,1
2020-09-02,3,0,1,0,4
2020-09-03,1,1,3,1,0
2020-09-04,1,0,0,1,4
2020-09-05,1,1,0,2,8
2020-09-06,0,1,0,3,4
2020-09-07,0,4,0,5,4
2020-09-08,1,2,0,1,5
2020-09-09,0,1,1,2,5
2020-09-10,0,0,2,3,7
2020-09-11,1,1,2,1,5
2020-09-12,2,1,2,3,10
2020-09-13,0,1,3,0,10
2020-09-14,0,2,1,2,12
2020-09-15,2,0,1,4,8
2020-09-16,0,3,0,5,14
2020-09-17,0,3,3,3,15
2020-09-18,2,3,0,2,14
2020-09-19,1,2,2,2,11
2020-09-20,3,1,3,3,17
2020-09-21,1,1,3,5,14
2020-09-22,7,4,3,2,18
2020-09-23,6,5,3,6,32
2020-09-24,4,0,4,9,16
2020-09-25,3,1,5,3,17
2020-09-26,4,0,5,5,21
2020-09-27,5,4,1,6,26
2020-09-28,1,5,6,6,29
2020-09-29,1,1,8,5,28
2020-09-30,2,4,7,10,25
2020-10-01,7,4,12,5,28
2020-10-02,4,6,5,12,36
2020-10-03,3,8,5,13,26
2020-10-04,5,3,6,6,34
2020-10-05,1,5,5,13,35
2020-10-06,5,7,8,5,37
2020-10-07,13,3,9,12,44
2020-10-08,4,4,7,16,44
